IC 10,IC 10,GAL,0.340,+59.29,10.4,6.6,Cas,Trpasličí starburst galaxie v Místní skupině
IC 1613,IC 1613,GAL,1.081,+2.12,9.2,16.0,Cet,Velmi difuzní trpasličí galaxie Místní skupiny
IC 2574,Coddington Galaxy,GAL,10.474,+68.41,10.6,13.0,UMa,Slabá trpasličí spirála s nízkou jasností
IC 3322,IC 3322,GAL,12.432,+7.21,12.5,3.4,Vir,Slabá spirála ve Virgo clusteru
IC 342,Hidden Galaxy,GAL,3.782,+68.10,8.4,21.0,Cam,Skrytá spirála tlumená prachem Mléčné dráhy
IC 3475,IC 3475,GAL,12.545,+12.72,13.3,4.0,Vir,Trpasličí eliptická galaxie
IC 3568,IC 3568,GAL,12.551,+82.56,10.6,3.0,Cam,Malá eliptická galaxie v Žirafě
IC 356,IC 356,GAL,4.129,+69.81,10.7,5.0,Cam,Jasná spirála v Žirafě vhodná pro detailní snímky
IC 4316,IC 4316,GAL,13.673,-28.89,13.0,4.0,Hya,Slabá spirála v jižní Hydře
IC 438,IC 438,GAL,5.471,-17.87,11.9,3.2,Lep,Malá spirála s výrazným prachovým pásem
IC 5052,IC 5052,GAL,20.867,-46.38,10.6,5.8,Pav,Edge‑on spirála v Pávu
IC 5201,IC 5201,GAL,22.348,-46.03,10.8,8.5,Gru,Jasná spirála v Jeřábu
IC 520,IC 520,GAL,8.895,+73.49,11.8,3.0,Cam,Kompaktní spirála s nízkou jasností
IC 5332,IC 5332,GAL,23.575,-36.10,10.6,6.6,Scl,Extrémně slabá spirála s nízkou jasností
IC 630,IC 630,GAL,10.641,-7.03,12.2,3.0,Sex,Lentikulární galaxie s jasným jádrem
IC 764,IC 764,GAL,12.169,-29.94,11.3,4.8,Hya,Velmi tenká spirála v Hydře
id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
NGC 1023,NGC 1023,GAL,2.673,+39.06,9.4,7.4,Per,Lentikulární galaxie v místní skupině
NGC 1052,NGC 1052,GAL,2.686,-8.25,10.5,4.0,Cet,Eliptická galaxie s aktivním jádrem
NGC 1055,NGC 1055,GAL,2.695,+0.44,10.6,7.6,Cet,Edge‑on spirála s prachovým pásem
NGC 1068,NGC 1068,GAL,2.712,-0.01,8.9,7.1,Cet,Seyfertova spirála s jasným jádrem
